club,elo_ranking_club,elo
FK Inter Baku,,1579.945047385008
FC Dila Gori,,1503.2192927356436
Dinamo Tbilisi,1177.27258301,1520.999030519714
CFR Cluj,1528.88085938,2102.99
CSKA-Sofia,,1585.7081625863632
Kayserispor,,1692.5950097675232
NK Inter Zapresic,,1611.0289659737568
Brighton & Hove Albion,,2222.96
Gil Vicente FC,,1680.5753527269608
GD Chaves,,1610.8141947957658
Real Valladolid CF,,1668.2044997604967
SC Braga,,1666.0970933805597
Zaglebie Sosnowiec,,1692.7390122932807
Unia Swarzedz,,1636.2038958030046
Piast Gliwice,1406.25488281,1630.69427075413
1.FC Kaiserslautern,,1600.0977575906375
1.FC Union Berlin,,2196.05
Panathinaikos FC,,1695.9425007600266
Trabzonspor,1526.68518066,1680.1900113886454
Rukh Lviv,1330.36120605,1686.1129456417339
Dynamo Kijow,,1566.0987628818839
VfL Wolfsburg,,2150.26
Charlotte FC,,1679.8559189172825
Derby County,,1601.6729887867912
FC Brugge,,1589.396942825104
Bruk-Bet Termalica Nieciecza,,1626.2888827571014
FC Viktoria Pilzno,,1517.7771620677827
FK Jablonec,,1537.0729960451085
SK Slavia Praga,,1651.7648332143392
FC Slovan Liberec,,1522.8954962694722
AC Sparta Praga B,,1610.4991042553804
LKS Lodz,,1584.0766581874038
SV Zulte Waregem,,1620.39550382787
Stomil Olsztyn,,1518.811787608816
Ihud Bnei Sakhnin,,1626.1889601505081
Maccabi Petah Tikva,,1644.3529611063143
Maccabi Haifa,1492.93383789,1664.7589815308525
Randers FC,,1545.365795712688
1.FC Nurnberg,,1577.5165815401012
FC Crotone,,1621.5267553325748
Parma FC,,1654.4020231988732
1.FC Koln,,1573.481844968865
FC St. Gallen 1879,,1611.7965200838335
Hammarby IF,,1503.747219524016
SV Werder Bremen,,1580.1162431213318
Aarhus GF,,1656.4543163600567
AZ Alkmaar,,2180.16
FK Panevezys,,1504.692530858634
Jeonnam Dragons,,1632.1355587441963
Torpedo Kutaisi,,1688.712357802386
Anorthosis Famagusta,,1582.8316070472813
Korona Kielce,,1519.391389282038
Ethnikos Achnas,,1638.0997102918004
FK Rostov,,1643.2686416360866
Rubin Kazan II,,1688.4668266399651
Gornik Leczna,1207.12487793,1584.1322206950906
KKS 1925 Kalisz,,1533.6105961926903
Legia Warszawa,,1623.1588885010478
Legia Warszawa II,,1536.6924027677037
Olimpia Grudziadz,,1620.186482882175
AFC Bournemouth,,2255.97
FC Southampton,,2202.61
Bez klubu,,1577.7037702449404
AC Fiorentina,,2266.04
Alki Larnaka,,1655.2036959991667
Amica Wronki,,1519.9524177549047
Polissya Zhytomyr,,1592.3846835841523
Fehervar FC,,1577.9787990115256
PFK Stal Kamyanske (-2018),,1514.7087707937303
Clermont Foot 63,,1554.944297089731
Gornik Zabrze,,1685.081907253776
Chrobry Glogow,,1609.1084593469375
Dolcan Zabki,,1562.058529717051
Royal Excelsior Virton,,1519.276566992313
Montpellier HSC,,1597.4949434735622
Dijon FCO,,1683.2704211720206
US Creteil-Lusitanos,,1514.6047270227655
Nieznany,,1579.759630020702
FK Krasnodar,,1523.2236691297073
Bandirmaspor,,1557.2333233464337
Slask Wroclaw,,1568.256081766806
Ruch Chorzow,,1627.4000035689432
Znicz Pruszkow,,1538.3362360877863
FC Girondins Bordeaux,,1681.587742951593
Zawisza Bydgoszcz,,1577.9585665528425
Jagiellonia Bialystok,,1609.2056311129531
APOEL Nikosia,,1546.8483560507598
Hertha BSC,,1525.0802754165675
Fortuna Dusseldorf,,1600.346114935545
Olympiakos Pireus,,1658.0570957056686
Standard Liege,,1555.2346195086611
Lechia Gdansk,,1534.0163647061133
BATE Borysow,,1550.8503088647374
FK Borac Cacak,,1557.876047104244
Crvena Zvezda Belgrad,,1547.4429728966447
CD Tondela,,1588.958238012834
PAE Chania,,1500.8973894879107
Cracovia,1325.34997559,1612.4858427055033
Panetolikos GFS,,1572.1648146139303
Vitoria Guimaraes SC,,1620.7456847158394
Vitoria Guimaraes SC B,,1566.346393200025
Qarabag FK,,1548.8144459797945
HNK Rijeka,,1535.7896954853213
Torino FC,,2203.15
Pogon Szczecin,,1619.3065221950885
Pogon Grodzisk Mazowiecki,,1634.4654364264873
Resovia Rzeszow,,1575.3859670439413
Atlanta United FC,,1529.1779188261185
Zaglebie Lubin II,,1645.0359767585821
Rakow Czestochowa,,1690.2786790854768
FC Luzern,,1567.4944856153809
FK Minsk,1090.82202148,1545.5071643802728
Metalurg Zaporizhya (-2016),,1644.6631011482657
Oud-Heverlee Leuven,,1647.4860564371988
Leicester City,,2217.48
SC Freiburg,,2153.11
Hapoel Beer Sheva,,1640.4645308781971
CF Os Belenenses,,1699.538159525767
Sporting CP,,1548.4994318484692
Damac FC,,1618.4411461663933
GNK Dinamo Zagrzeb,,1579.3477346431418
NK Lokomotiva Zagreb,,1660.2193226230634
Queens Park Rangers,,1667.91616703999
Hellas Verona,,2112.64
Polonia Warszawa,,1505.6204363365537
GKS Tychy,,1586.719602993529
New York Red Bulls,,1608.08529218007
Desportivo Aves (- 2020),,1560.291406728704
UD Vilafranquense,,1519.334511122614
Benfika Lizbona B,,1524.4709776594877
Besiktas JK,,1590.6105265738547
KF Tirana,,1629.88185698153
FC Brentford,,2245.14
AD Alcorcon,,1539.7919999343876
FC Koper,,1550.6366200899447
Wisla Plock,,1625.5436279799355
Puszcza Niepolomice,,1525.9377521323179
Stal Mielec,1256.35632324,1642.388163156049
Navbahor Namangan,,1539.553899606427
FC Sheriff Tyraspol,,1629.80527506884
Shakhter Soligorsk,,1550.954522394374
FC AGMK Olmaliq,,1622.3219580590212
Energetik-BGU Minsk,,1563.5395460291256
AEK Larnaka,,1645.5833864534156
Boavista Porto FC,,1676.999504776807
Omonia Nikozja,,1548.668251273982
Academica Coimbra,,1671.519736913638
FC Penafiel,,1568.219177522961
Vitoria Setubal FC,,1653.776007125908
Varzim SC,,1605.7808210620399
UD Las Palmas,,1601.5097359957945
AEK Ateny,,1641.3354785821261
FC Ingolstadt 04,,1520.411749245734
FK Baumit Jablonec,,1504.5676135695528
AC Sparta Praga,,1648.1483289097825
Tottenham Hotspur,,2359.11
Urawa Red Diamonds,,1672.257477022842
Cangzhou Mighty Lions,,1568.8314519555634
Kairat Almaty,,1597.7914394974337
Gimnastic de Tarragona,,1507.563629172307
Arka Gdynia,,1691.0884367436163
AFC Sunderland,,1655.335249314749
Czornomorec Odessa,,1543.2986357859274
FC Den Bosch,,1617.951692188445
SK Sturm Graz,,1517.676081936198
MFK Karvina,,1640.401139824036
MSK Zilina,,1564.6297691653658
FC ViOn Zlate Moravce-Vrable,,1608.0440482876138
MSK Zilina B,,1697.640466163265
FC Nitra,,1588.9935170958684
Dukla Banska Bystrica,,1690.7472186697855
Red Bull Salzburg,,2237.81
KAA Gent,,2112.02
Jeonbuk Hyundai Motors,,1696.2663106602095
Caykur Rizespor,,1596.9108639995993
Crystal Palace,1687.91210938,2301.8
Koniec kariery,,1514.0699809300802
Ural Jekaterynburg,,1654.6787152849145
GKS Belchatow,,1591.849256513125
MKS Kluczbork,,1680.4943885495638
Miedz Legnica,,1517.9133596474182
Ruch Radzionkow,,1644.1642462627772
Lechia Gdansk II,,1619.8623374833116
Skra Czestochowa,,1571.4318121785725
FK Zalgiris Wilno,,1686.025378472989
NK Hrvatski Dragovoljac,,1623.4334392300582
NK Varazdin,,1569.3589564781996
FC Tosno (-2018),,1667.68401978337
Panionios Athen,,1695.914990350678
AO Platanias,,1616.2693109926101
Empoli Primavera,,1588.7785311351056
Chojniczanka Chojnice,,1562.9946285853607
Rozwoj Katowice,,1674.8569958625792
FK Mlada Boleslav,,1695.4150948409122
FK Viktoria Zizkov,,1669.1019966411786
FC Banik Ostrava,,1519.716279450479
Goztepe,,1562.0618749233936
Al-Adalah FC,,1645.0588232544128
NK Triglav Kranj,,1686.4925877602363
NK Krka,,1542.4123528915031
SD Huesca,,1530.1652290033244
SD Ponferradina,,1619.6309634005058
Levante UD,,1661.3880970005775
Sewilla Atletico,,1614.0840236478127
Korona Kielce II,,1503.235621424942
Gwarek Tarnowskie Gory,,1570.1941391466935
Stal Stalowa Wola,,1627.1747428887647
Siarka Tarnobrzeg,,1698.5986351177391
Gornik Polkowice,,1547.4007770451667
Pogon Siedlce,,1649.893285447229
Qingdao Hainiu,,1672.1379371411235
Wuhan Yangtze (2009 - 2023),,1602.2408393046735
Wuhan Yangtze,,1693.9130182714644
Arsenal Tula,,1623.0490082635529
Anzy Machaczkala ( -2022),,1564.0647950676077
FK Ufa,,1661.5342206010835
Krylja Sowietow Samara,,1554.4090353042309
FSV Frankfurt,,1522.0110301136847
Rot-Weiss Oberhausen,,1615.8663197894973
FC Carl Zeiss Jena,,1649.5303595982953
Daejeon Hana Citizen,,1577.6693487507193
Skonto Riga (- 2016),,1569.3960949510754
Skonto Riga II,,1690.5141882778942
Pordenone Calcio,,1570.7295201813822
ROW 1964 Rybnik,,1511.0885353510432
Energetyk ROW Rybnik,,1587.7318219958279
Wellington Phoenix,,1613.5698278022576
Jeju United,,1562.1703551764745
VfL Wolfsburg II,,1539.2550418966887
Karlsruher SC,,1588.8107566870303
SL Benfica M23,,1698.3209664787883
SL Benfika U17,,1622.1713001847686
Asteras Tripolis,1406.65087891,1552.3088854105615
SCR Altach,,1687.6104375275827
SC Austria Lustenau,,1569.1132234652928
Wigry Suwalki,,1668.440273469179
SSC Napoli,,2272.28
Carpi FC 1909,,1589.7629656807683
SS Maceratese,,1580.9818152689886
Rimini FC,,1567.885796230265
AS Gubbio 1910,,1671.8317779555814
Neapel Primavera,,1620.469488604215
Olimpia Elblag,,1674.1915086995612
Garbarnia Krakow,,1606.420954534192
Swit Szczecin,,1658.7676570246
FC Cartagena,,1617.2774916378248
FC Porto B,,1565.5592648218064
TSV Hartberg,,1570.7208518656805
SKN St. Polten,,1584.3884106016444
Amiens SC,,1594.6673668879043
Esbjerg fB,,1675.9782159373106
FC Midtjylland,,2160.85
Karmiotissa Pano Polemidion,,1572.6687907268515
Bnei Yehuda Tel Aviv,,1653.5483864689409
Pogon Szczecin II,,1622.0342316770011
US Salernitana 1919,,1553.7198319421634
Vitesse Arnhem,,1507.3095541121074
Union Saint-Gilloise,,2215.07
Houston Dynamo FC,,1610.168550551983
FK Austria Wieden,,1645.843005627845
NK Maribor,,1662.600069030355
NK Verzej,,1574.8125568871321
Blekitni Stargard,,1541.1286237995266
Parma Calcio 1913,,1510.439062746158
HJK Helsinki,1271.05200195,1665.0453239661624
FC Lahti,,1528.1591465502227
ADO Den Haag,,1537.5122441931992
Molde FK,,2105.76
IF Elfsborg,,1675.758698752876
Leeds United,,2236.33
Malmo FF,,1591.1213670120965
Jonkopings Sodra IF,,1533.1838952339606
Pakhtakor Tashkent,,1521.4393082888355
Kotwica Kolobrzeg,,1656.9181700172512
FC RFS,,1696.2186801686357
Nea Salamina Famagusta,,1620.531218061774
Wissa Szczuczyn,,1625.3181375362906
FC Nordsjaelland,,1560.4911574914584
FC Viitorul Constanta,,1508.5330324997008
FC Voluntari,,1675.4072001274253
FC Viitorul Constanta U19,,1685.9300112961616
Ascoli Picchio,,1677.8256720145864
Heart of Midlothian FC,,1627.7263415921698
Vicenza Calcio,,1659.4537389024988
Catania Calcio,,1523.963632077058
Ostersunds FK,,1696.0606727600907
FK Sfintul Gheorghe Suruceni (- 2023),,1697.9542418761641
KRC Genk,,2119.36
Trelleborgs FF,,1683.0079394890224
Volga Uljanovsk,,1623.6890077805608
Isloch Minsk Region,,1683.2972903728682
SKF Sered,,1589.517096266199
MTK Budapest,,1502.2708896286317
Spartak Trnava,,1657.7443940211233
SK Sigma Olomuniec,,1544.902399989918
Chennaiyin FC,,1675.5949261351202
Jagiellonia Bialystok II,,1601.3957039565623
Enosis Neon Paralimniou,,1533.2947104464658
Barakaldo CF,,1695.005701036059
Celta Vigo B,,1641.761301777759
FK Senica (- 2022),,1516.5389302666256
Bohemian Football Club,,1674.4152592291653
UCAM Murcia CF,,1572.2784955308052
Cadiz CF,,2100.4
UE Llagostera,,1567.0423885191867
Sabah FK,,1502.3438127751513
FC Dinamo 1948,,1677.7100642672215
Universitatea Craiova,,1668.313887782
CF Reus Deportiu,,1554.2256126637583
FC Barcelona B,,1630.8954129916965
Girona FC,,2269.71
Iraklis Saloniki,,1541.159720640316
Chengdu Rongcheng,,1578.3844538636247
Volos NPS,,1564.1017876705082
Wisla Sandomierz,,1581.8124457159136
Hutnik Krakow,,1569.000414017456
AEL Limassol,1429.48400879,1577.0075039649928
FK Orenburg,,1542.8179320676115
Dynamo Moskwa,,1637.9634571226618
Naftan Novopolotsk,,1572.3797511894718
Dnepr Mogilev,,1695.9425568958395
FK Dukla Praga,,1601.504451970314
Terek Grozny,1439.72692871,1597.0876748933736
Puskas Akademia FC,,1627.7268430773788
HNK Cibalia Vinkovci,,1692.8890463603109
Wieczysta Krakow,,1569.7290881263411
NAC Breda,,1664.205257206788
Neftchi Baku,,1693.1629547412126
Viborg FF,,1611.209040375881
Aris Saloniki,,1689.3851370440061
Polonia Bytom,,1534.9880920403587
Huddersfield Town,,1614.4088684485498
FC Barnsley,,1511.904620507137
AC Perugia Calcio,,1542.55547915096
FK Zeljeznicar Sarajevo,,1586.2320754847508
NK GOSK Gabela,,1573.565589128316
NEC Nijmegen,,1543.2588160816308
Valencia Mestalla,,1501.5876194328785
CA Osasuna Promesas,,1543.851717227328
Tom Tomsk,,1640.7384923814238
Levski Sofia,,1557.6146289135572
FK Teplice,,1557.3975153121767
FK Aksu,,1616.2955071357583
PFK Lwow,,1529.8720572047498
Cracovia II,,1678.482250097666
Olimpik Donieck,,1677.223516679573
Wisla Pulawy,,1587.8542247354246
Cracovia U19,,1653.3169350465346
LKS Lagow,,1530.3882653264716
Zemplin Michalovce,,1525.054067568967
Slovan Bratislava,1380.83984375,1577.5439379052402
AS FC Buzau,,1630.3151422087171
Botev Vratsa,1207.53283691,1653.480749283641
Slavia Sofia,1275.95690918,1655.3797221858417
Lokomotiv Plovdiv,,1612.891808891809
Litex Lovech,,1669.9307422613222
MFK Kosice,,1536.2070668704548
Istanbulspor,,1685.084017101699
ACSM Politehnica Iasi,,1529.395655405024
Roda JC Kerkrade,,1535.994557739429
MVV Maastricht,,1668.4381798731924
FK Napredak Krusevac,,1548.3232044020106
FK Kolubara Lazarevac,,1538.0545372499923
FK Mladost Doboj-Kakanj,,1535.5455867105395
NK Krsko,,1686.2575543861722
FK Zeljeznicar Sarajevo U19,,1589.3253112512396
Petrolul Ploiesti,,1616.210179122538
AS Ardealul Tg. Mures (- 2018),,1699.0098054790135
Otelul Galati,,1593.5320242217529
Steaua Bukarest,,1651.8159938316915
Ionikos Nikeas,,1516.8493751204162
PAS Giannina,,1533.882745210833
FC Hansa Rostock,,1572.9005381302047
MSV Duisburg,,1676.7561162049587
FC Viktoria Koln,,1583.5667619695641
VfL Osnabruck,,1559.2173517898464
VfB Stuttgart II,,1672.4575456935902
Almere City FC,,1663.3752769373343
NK Osijek,,1500.9501437185547
Tianjin Jinmen Tiger,,1554.6635183936696
GNK Dinamo Zagrzeb II,,1566.150613216736
Adana Demirspor,1295.20129395,1626.6981766735037
SV Sandhausen,,1656.2493182650965
FCV Farul Constanta,,1616.245976786567
Paysandu SC,,1569.0326427471646
Kickers Offenbach,,1543.8304041337676
SV Meppen,,1597.8368695692157
SG Dynamo Dresden,,1569.2231256874586
Stuttgarter Kickers,,1645.4248890250017
Eintracht Frankfurt,,2276.39
Bayern Monachium II,,1616.6659602739378
Eintracht Frankfurt II,,1569.1066039563561
FC Imabari,,1505.7577328586046
Trapani Calcio,,1557.4636333811516
Tivoli Calcio 1919,,1578.6806002038215
FK Riteriai,,1636.2875911191657
Modena FC,,1530.4427821344138
Roma M19,,1553.7257343926688
Concordia Chiajna,,1607.997101142489
ORU Golden Eagles (Oral Roberts Uni.),,1633.1485688965759
Udinese Calcio,,2136.23
Granada CF B,,1622.7461731355893
Udinese Primavera,,1524.2131517946464
Reggina Calcio,,1516.9802081971775
Reggina Primavera,,1505.8278843915907
Venezia FC,,1587.5871671538314
Spezia Calcio,,1656.919072203823
SC Paderborn 07,,1652.186319614665
FK Pohronie,,1551.6705980393715
Zalaegerszegi TE FC,,1687.586897709133
Pafos FC,,1660.7738716470326
NK Domzale,,1612.0942031923712
NS Mura,,1528.525345982988
AE Kifisias,,1574.8095811588369
Sparta Rotterdam,1424.14318848,1645.9408463362981
AE Larisa,,1642.4092151215236
Odense Boldklub,,1539.0596205672352
Etar Veliko Tarnovo,,1559.7548327969162
CE Sabadell FC,,1654.6401924883287
Gornik Zabrze II,,1621.7592557167561
AS Trencin,,1638.9862813735479
FK Radnik Surdulica,,1659.323438194039
FK Rad Belgrad,,1599.2674701405444
OFK Zarkovo,,1518.0946443184887
Benevento Calcio,,1573.9609115004384
Limanovia Limanowa,,1690.2208355007092
FC Dallas,,1566.3601786062331
OFI Kreta,,1542.418098137457
Toronto FC,,1588.5553371786743
PAS Lamia 1964,,1504.9827546019758
Beitar Jerusalem,,1636.350759952671
Jiangsu Suning,,1589.0391246472998
US Latina Calcio,,1583.111436205094
Atalanta BC,,1511.2418205270867
Elche CF,,1691.0441454110717
US Sassuolo,,1697.091267620884
Genoa CFC,,1663.683815009325
Genoa Primavera,,1550.394864087416
MFK Skalica,,1568.0199306719044
Doxa Katokopias,,1536.141161361666
Floridsdorfer AC,,1568.040449437114
SC Wiener Neustadt,,1565.01865451423
SK Rapid Wieden,,1663.4681848231953
FC Liefering,,1652.3030750251576
SK Rapid Wien II,,1576.5368590603703
Flota Swinoujscie,,1532.0355019986891
Kolejarz Stroze,,1661.4277664139688
Ascoli Picchio Primavera,,1695.9336137872956
Ascoli Calcio,,1612.632673816971
US Lecce,,1541.5397602240332
FC Empoli,,1596.9371175141616
Gowerla Uzgorod (- 2016),,1645.1405795058827
AC Horsens,,1529.1485082610045
SonderjyskE,1326.49450684,1545.589130523903
Dinamo Batumi,,1537.4132212421928
FK Sarajevo,1220.26086426,1621.6238709096115
Krywbas Krzywy Rog,,1517.7602029937398
Ludogorets Razgrad,,1643.1152855423961
FC Thun,,1692.2320588906002
FC St. Pauli II,,1513.575596784927
Bayer 04 Leverkusen,,1638.0158312396036
FC St. Pauli,,2185.09
Bayer 04 Leverkusen U19,,1684.909079269122
Hamburger SV,,2183.71
RC Lens,,2209.11
Vaasan Palloseura,,1622.0173308729584
Rubin Kazan,1489.79577637,1664.287455466179
Zenit St. Petersburg II,,1582.0459833788254
Pauzuje,,1651.8879116790342
BSC Young Boys,,1597.1027653473136
KSC Lokeren (- 2020),,1524.7380344177648
PAOK Saloniki,,2183.31
Bursaspor,,1595.5904518260852
Fenerbahce,1540.81774902,2281.04
Al-Ain FC,,1597.4306030437574
ND Gorica,,1543.183128287372
ND Primorje ,,1636.313186280213
Bodrum FK,,1571.9739914496022
Budapest Honved FC,,1583.6376497654649
Celta de Vigo,,2193.71
OFK Belgrad U19,,1658.4652366879775
Basaksehir FK,,1502.1186994890913
CD Mirandes,,1568.649661732505
Brondby IF,,1615.687769189106
NK Malecnik,,1606.4299964346333
LKS Lodz II,,1559.940006068642
ESTAC Troyes,,1658.028059308096
Altay SK,,1661.444541958538
MKE Ankaragucu,,1590.5800015022403
FC Astana,,1628.2120276255685
FC Bologna,,2243.47
FK Proleter Novi Sad (- 2022),,1641.2035531712118
FK Sabail,,1662.5821423357916
Spartak Myjava,,1616.1401400206055
FK Spartaks Jurmala,,1631.6720642090536
MFK Ruzomberok,,1629.379889533707
FK Olimpik Sarajevo ,,1522.9132215803654
FK Velez Mostar,,1623.4739590245538
KVC Westerlo,,1511.514395520819
FC Ararat Erewan,,1525.8376110466234
Valenciennes FC B,,1641.3070089258074
Chojniczanka Chojnice II,,1540.6168351979761
Szachtior Karaganda,,1548.4072431028274
Negeri Sembilan FC,,1620.729236209483
Zetysu Taldykorgan,,1525.6201411955803
Real Zaragoza,,1637.314443919071
FC Sion,,1697.9001230397157
Neuchatel Xamax FCS,,1681.8763630622664
Grasshopper Club Zurych,,1566.8811048353725
FC Lausanne-Sport,,1607.4342702247372
Beerschot AC,1344.10742188,1571.2305088207272
Racing Ferrol,,1574.8877868789511
Villarreal CF B,,1623.7543281235621
FC Villarreal C,,1502.3461456844955
FK TSC Backa Topola,,1642.8830124497485
VfL Bochum,,2146.01
VfL Bochum II,,1663.9698188086
CF Fuenlabrada,,1543.438160704299
Real Madryt Mlodziez A (U19),,1568.163351382746
Tuzlaspor,,1594.0991479167626
Slaven Belupo Koprivnica,,1530.3557418322368
LASK,1564.32873535,1543.3291535788608
Columbus Crew,,1660.9124287444695
CD Numancia,,1623.7285096177611
Real Oviedo,,1682.782199185458
LOSC Lille,,1556.011347645638
Manchester City U23,,1685.5377111642617
Borussia Dortmund,,2253.32
WSG Tirol,,1594.4151006476857
Standard de Liege 16 FC,,1507.623583192125
FC Kosice,,1640.775656347238
NK Celje,,1528.0511536913627
NK Fuzinar,,1624.25384654932
Vis Pesaro 1898,,1658.2008331084385
FK Decic Tuzi,,1655.5058329986948
FK Mornar Bar,,1502.6544017126673
Maccabi Netanya,,1621.0520073225443
KV Mechelen,,1560.0452403858683
Dinamo Minsk,1273.29541016,1680.4605620097277
Changchun Yatai,,1554.0255063329548
Buducnost Podgorica,,1663.7685641873413
Borussia Dortmund II,,1621.5694742103676
Hull City,,1576.6029948196142
Ferencvarosi TC,,1507.885695763406
Wisla Krakow II,,1620.4672101387496
HNK Gorica,1422.16601562,1609.6884671614584
SpVgg Greuther Furth,,1593.2006644255425
Royal Excel Mouscron (-2022),,1608.753032567271
FK Mladost Lucani,,1651.0006406402144
FK Novi Pazar,,1525.9844928817072
RC Strasbourg Alsace,,1548.2459232980966
IK Frej Taby,,1583.7947009590655
Cartusia Kartuzy,,1560.3048593136534
Antalyaspor,1352.79040527,1699.8776330741362
Bologna Primavera,,1631.0800346942106
1.CfR Pforzheim,,1675.7310450624752
Valmiera FC,,1571.2959614225642
Persija Jakarta,,1547.7452629597128
FC Ashdod,,1620.4143700804516
FC Cincinnati,,1662.7331657309214
FC Dordrecht,,1617.0913904482907
Glasgow Rangers,,2180.58
Dewa United FC,,1594.8139107640318
Tractor Sazi FC,,1601.3372380238154
Hamilton Academical FC,,1531.6743903252807
Jarota Jarocin,,1513.0743192641453
Holstein Kiel,,2113.68
Aalesunds FK,,1591.5210038537089
Legionovia Legionowo,,1692.2740479979063
CD Estepona FS,,1643.9285964667924
Botafogo FC,,1643.4884534968214
Montedio Yamagata,,1549.464568574169
Kisvarda FC,,1549.2457109422444
1.FC Kaiserslautern II,,1624.1198373168863
VV St. Truiden,,1628.8225082597685
Charlton Athletic,,1676.1816101479203
Hallescher FC,,1650.832480651872
1.FC Nurnberg II,,1506.0456041575012
Wolverhampton Wanderers,,2155.78
Legia Warszawa U19,,1522.0635448393991
Jubilo Iwata,,1521.5622483648199
Debreceni VSC,,1659.3457532670188
FK Sochi,,1581.6592019262025
Dinamo St. Petersburg (-2018),,1622.421913792591
Mladost Podgorica,,1549.7286843158274
Real Aviles Industrial,,1574.1551502665764
NK Istra 1961,,1578.8265994149228
Recreativo Huelva,,1667.9762168442867
Cultural Leonesa,,1504.0973218194204
AFC Barrow,,1699.2002882107251
FC United of Manchester,,1668.2516052763021
Bari Primavera,,1503.183959563479
Chievo Primavera,,1608.7950723246831
Silkeborg IF,,1540.082484200216
Aalborg BK,,1557.8637529344514
Radunia Stezyca,,1555.6603847912797
Valletta FC,,1692.3861224078273
Vardar Skopje,,1581.4687868472893
NK Tabor Sezana,,1537.9403255368682
FC Chambly Oise,,1602.0660338849984
NK Roltek Dob,,1508.902927770313
Atalanta Primavera,,1686.5634775670162
Kristiansund BK,,1575.5937552464738
Ranheim IL,,1515.5639110699533
PAE Veria,,1599.3126676712448
APO Levadiakos,,1546.2037308381014
BFC Dynamo,,1503.2841956315588
Inverness Caledonian Thistle FC,,1520.6486097199065
Dundee FC,,1626.730550390723
Ironi Kiryat Shmona,,1640.8771682179577
Kilmarnock FC,,1587.3698336642483
St. Johnstone FC,,1570.84685793018
CSKA Sofia,1525.0098877,1612.6678697829655
Atletico Sanluqueno,,1639.3410753791943
FC Goa,,1556.466136525458
Extremadura UD,,1655.6559494264084
Cordoba CF,,1527.3346568247864
Bytovia Bytow,,1627.8611216615193
Partizan Bardejov,,1530.6101028898904
Polonia Nysa,,1530.935327957831
Sepsi OSK Sf. Gheorghe,,1626.0256700148816
Al-Jabalain FC,,1584.7468177913138
Racing Santander,,1669.7344626642523
Slask Wroclaw II,,1573.7050361039082
FC Vaslui,,1551.0991774396828
Hapoel Haifa,1292.44641113,1606.799604987654
NK Zagreb,,1507.6284105926782
Gandzasar Kapan,,1659.7846099016942
Ulisses Erewan,,1644.054631427974
Club Deportivo Maldonado,,1624.4885111662152
Club Nacional,,1644.2172909704984
CA Talleres,,1510.3152235672194
Danubio FC,,1565.4232429679282
Ternana Calcio,,1514.6705805139902
Guizhou Renhe,,1675.7858509304428
